Source Name,Sample Name,Characteristics: organism,Comment: Sample_characteristics,Comment: Sample_source_name,Comment: Sample_description,Protocol REF
GSM360122 1,GSM360122 extract 1,Caenorhabditis elegans,"Ceanorhabditis elegans, N2 wild type",10 degrees,"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
GSM360128 1,GSM360128 extract 1,Caenorhabditis elegans,C.elegans_Temperature 10 degrees_1,control (20 degrees),"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
GSM360120 1,GSM360120 extract 1,Caenorhabditis elegans,"Ceanorhabditis elegans, N2 wild type",10 degrees,"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
GSM360123 1,GSM360123 extract 1,Caenorhabditis elegans,"Ceanorhabditis elegans, N2 wild type",15 degrees,"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
GSM360121 1,GSM360121 extract 1,Caenorhabditis elegans,"Ceanorhabditis elegans, N2 wild type",10 degrees,"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
GSM360124 1,GSM360124 extract 1,Caenorhabditis elegans,"Ceanorhabditis elegans, N2 wild type",15 degrees,"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
GSM360125 1,GSM360125 extract 1,Caenorhabditis elegans,"Ceanorhabditis elegans, N2 wild type",15 degrees,"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
GSM360127 1,GSM360127 extract 1,Caenorhabditis elegans,C.elegans_Temperature 10 degrees_1,control (20 degrees),"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
GSM360129 1,GSM360129 extract 1,Caenorhabditis elegans,"Ceanorhabditis elegans, N2 wild type",25 degrees,"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
GSM360131 1,GSM360131 extract 1,Caenorhabditis elegans,"Ceanorhabditis elegans, N2 wild type",25 degrees,"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
GSM360126 1,GSM360126 extract 1,Caenorhabditis elegans,"Ceanorhabditis elegans, N2 wild type",control (20 degrees),"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
GSM360130 1,GSM360130 extract 1,Caenorhabditis elegans,"Ceanorhabditis elegans, N2 wild type",25 degrees,"This study focused on temperature, profiling the altered gene expression that develops under four thermal conditions (10, 15, 20, and 25Â°C) in C. elegans.",
