Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		4.819	A	1.416
1475		"106,626"	A	1.003
117		7.071	A	1.941
1414		4.999	A	1.13
1465		11.75	A	0.787
1315		134.6	A	0.9
836		412.7	A	0.928
1401		"1,476"	A	0.95
141		"3,800"	A	0.918
3027		"12,997"	A	0.936
1638		"27,080"	A	1.271
758		4.67	A	1.435
3979	1.487	167.4	P	1.487
31142		4.445	A	1.519
2410	1.668	64.27	P	1.668
3394		15.88	A	0.462
3825	1.179	703.7	P	1.179
23028	1.475	359.4	P	1.475
17598	1.497	292.1	P	1.497
11744	0.395	117.8	P	0.395
25598	0.989	204.2	P	0.989
8206		4.111	A	1.391
17970		12.38	A	3.28
1911	0.985	76.77	P	0.985
12076	0.487	594.7	P	0.487
4933		4.622	A	1.405
8475	0.93	"6,354"	P	0.93
5589		4.293	A	1.326
18182		4.357	A	0.722
31887		4.895	A	0.482
13720		8.199	A	1.879
2512	2.063	194	P	2.063
659	1.333	55.15	P	1.333
13279	1.132	"3,488"	P	1.132
20212	0.896	367.6	P	0.896
6676	0.697	"1,311"	P	0.697
32577	0.966	"2,038"	P	0.966
9958	1.002	"1,107"	P	1.002
11670	1.222	"1,536"	P	1.222
9432		15.05	A	0.566
1046		14.05	A	1.039
650	0.611	404.3	P	0.611
16737	0.807	381.4	P	0.807
4805	0.93	"2,410"	P	0.93
7018	2.105	121.2	P	2.105
28344		4.244	A	1.499
28133		4.338	A	1.234
9656	0.875	"4,720"	P	0.875
32803	0.717	26.09	P	0.717
22949	3.15	96.84	P	3.15
20308		3.82	A	1.397
29547	0.836	"2,472"	P	0.836
17855	1.522	444	P	1.522
1804	1.084	130	P	1.084
6973	0.862	177.7	P	0.862
408	0.814	60.92	P	0.814
17829	0.941	778.3	P	0.941
28150	1.107	52.61	P	1.107
881		7.464	A	2.298
22402	2.094	180.5	P	2.094
35211		5.106	A	1.508
3924		16.32	A	0.785
29269	0.524	149.3	P	0.524
11076		12.94	A	2.199
4021		4.957	A	1.442
10061	1.117	"3,409"	P	1.117
36238	1.206	102.9	P	1.206
26672		5.713	A	0.664
17497	1.152	347.9	P	1.152
5733	0.906	"1,220"	P	0.906
7696	0.603	457	P	0.603
20393	0.761	"2,950"	P	0.761
13526	1.084	26.28	P	1.084
20243		3.968	A	0.658
19005	0.913	108	P	0.913
11193	0.802	304.2	P	0.802
1795	0.743	"2,918"	P	0.743
1907		6.801	A	0.808
7429	0.705	818.1	P	0.705
20060	1.994	"5,493"	P	1.994
21859	1.373	328.7	P	1.373
18258	0.957	"8,787"	P	0.957
5532		6.124	A	0.361
11116	1.138	24.32	P	1.138
9512		4.347	A	1.195
6049	1.376	"52,980"	P	1.376
29917	0.662	800	P	0.662
23210	0.884	"15,510"	P	0.884
2986		4.824	A	0.315
34874	1.964	33.69	P	1.964
2647	1.012	636.3	P	1.012
9444	1.432	"1,009"	P	1.432
4557	1.366	224.7	P	1.366
3710		4.547	A	1.41
13079	2.03	61.98	P	2.03
20739		4.863	A	0.262
22430	1.436	"81,594"	P	1.436
17556	2.068	37.99	P	2.068
20416	0.615	46.19	P	0.615
11219	0.991	"4,135"	P	0.991
12785	0.57	109.5	P	0.57
3322	1.388	361.2	P	1.388
3655	0.993	"3,221"	P	0.993
894	0.583	381.1	P	0.583
34335		5.275	A	1.428
28190	1.581	"4,515"	P	1.581
22602	2.178	"1,096"	P	2.178
8664		10.86	A	0.349
7275	1.903	"6,732"	P	1.903
22044	1.237	"1,043"	P	1.237
2793	1.047	563.5	P	1.047
7195		4.549	A	1.409
27041	0.992	49.83	P	0.992
9644	0.754	537.9	P	0.754
15884	0.799	179.8	P	0.799
713		5.172	A	1.441
1570	1.292	"12,742"	P	1.292
24507	0.542	51.22	P	0.542
31064		8.906	A	1.096
1091	0.695	45.96	P	0.695
2477	1.388	"1,563"	P	1.388
35276	2.045	"1,852"	P	2.045
16874	1.136	76.95	P	1.136
8057	1.465	179.9	P	1.465
18309	0.984	134.9	P	0.984
19463	0.544	236.9	P	0.544
13571	1.089	"1,362"	P	1.089
17783	0.688	"1,353"	P	0.688
1480	1.416	202.7	P	1.416
12973	1.029	"11,854"	P	1.029
8750		4.692	A	1.389
8547		8.838	A	0.59
22640	1.21	"6,838"	P	1.21
15569		3.99	A	1.358
19956	1.241	471	P	1.241
20706	1.958	617.6	P	1.958
13944	1.092	217.6	P	1.092
804	1.342	"18,917"	P	1.342
44581	1.03	513.9	P	1.03
1914	0.707	969	P	0.707
17433	0.717	"2,989"	P	0.717
33513		4.49	A	1.414
6682	0.748	83.09	P	0.748
19327		4.105	A	1.285
3131		5.606	A	1.843
26566		4.073	A	1.566
13775	1.808	34.96	P	1.808
30169	1.267	"1,364"	P	1.267
7074	0.707	"2,602"	P	0.707
11717	18.6	"2,401"	P	18.6
5164	1.197	72.06	P	1.197
10024	1.232	48.55	P	1.232
2954	1.324	193.7	P	1.324
31196	1.473	347.3	P	1.473
9694	1.529	123.7	P	1.529
30883	1.086	"1,297"	P	1.086
8036		4.259	A	0.91
16999	0.631	131.2	P	0.631
31305	1.114	"5,758"	P	1.114
6223	0.767	716.3	P	0.767
7870	0.697	353.4	P	0.697
25261	0.602	796.7	P	0.602
12661	1.08	"11,307"	P	1.08
9397	1.164	202.8	P	1.164
5804	1.237	"8,167"	P	1.237
1085	2.595	"2,823"	P	2.595
121	0.81	515.1	P	0.81
26195	0.867	24.71	P	0.867
5937	0.917	558.6	P	0.917
7113	0.791	"1,388"	P	0.791
4292	1.103	"5,719"	P	1.103
15959	0.757	59.98	P	0.757
28402	0.915	111.8	P	0.915
10621	1.894	124.9	P	1.894
25679	0.851	717.3	P	0.851
1643	0.824	262.9	P	0.824
6152	0.912	"1,361"	P	0.912
2711	1.777	80.28	P	1.777
13024	1.038	"3,676"	P	1.038
20166		4.157	A	1.467
4425	1.221	76.06	P	1.221
7299		4.039	A	1.379
24109	1.038	58.33	P	1.038
19527		6.126	A	2.138
16298	0.996	403.4	P	0.996
1280	1.089	"5,142"	P	1.089
23381	0.845	311.4	P	0.845
3342		4.862	A	1.451
18112		4	A	1.353
13043	0.458	"1,306"	P	0.458
17845	1.23	"4,653"	P	1.23
12627	0.906	"3,808"	P	0.906
45		5.313	A	1.632
11686	0.793	24.97	P	0.793
10887	1.758	"2,536"	P	1.758
9349	11.62	"4,003"	P	11.62
25757	0.972	133.5	P	0.972
29496	1.169	267.1	P	1.169
15728		4.717	A	1.454
16609	0.743	"4,198"	P	0.743
862	0.721	78.5	P	0.721
2865	0.868	"5,960"	P	0.868
22200		4.29	A	0.919
30456	0.412	"2,289"	P	0.412
3841	1.122	43.48	P	1.122
1264	2.313	105.2	P	2.313
2032	1.001	"5,019"	P	1.001
17111		4.75	A	1.461
32559	1.147	147.8	P	1.147
15675	0.91	570	P	0.91
6090		5.328	A	1.18
15343	1.223	27.32	P	1.223
17422		5.583	A	1.853
32525	2.423	"2,976"	P	2.423
4639	1.192	34.91	P	1.192
10123	0.636	25.6	P	0.636
2750	0.728	305.2	P	0.728
17936	1.568	33.25	P	1.568
4621	0.929	"9,752"	P	0.929
8136	2.567	71.54	P	2.567
309	1.408	548.6	P	1.408
20509	0.685	"3,990"	P	0.685
13936		4.496	A	0.494
61	1	"1,209"	P	1
7287	1.063	"1,811"	P	1.063
41946	1.085	"2,407"	P	1.085
