"Source Name"	"Sample Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Strain]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Material Type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[Spaceflight]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Altered Gravity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Growth Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Absorbed Radiation Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample Preservation Method]"	"Term Source REF"	"Term Accession Number"
"N2 Spaceflight Static con"	"GSM2412681"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"N2"	""	""	"Whole Organism"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"sample collection"	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"uG"	""	""	"23 +/- 0.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"1.92"	"milligray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000142"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"
"LS292 Spaceflight Static con"	"GSM2412682"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"LS292"	""	""	"Whole Organism"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413"	"dys-1(cx18) I"	""	""	"sample collection"	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"uG"	""	""	"23 +/- 0.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"1.92"	"milligray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000142"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"
"MT4930 Spaceflight Static con"	"GSM2412683"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"MT4930"	""	""	"Whole Organism"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413"	"ced-1(n1995) I"	""	""	"sample collection"	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"uG"	""	""	"23 +/- 0.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"1.92"	"milligray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000142"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"
"N2 Spaceflight 1g -centrifugal con"	"GSM2412684"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"N2"	""	""	"Whole Organism"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"sample collection"	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"1G in Centrifuge"	""	""	"23 +/- 0.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"2.27"	"milligray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000142"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"
"LS292 Spaceflight 1g-centrifugal con"	"GSM2412685"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"LS292"	""	""	"Whole Organism"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413"	"dys-1(cx18) I"	""	""	"sample collection"	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"1G in Centrifuge"	""	""	"23 +/- 0.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"2.27"	"milligray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000142"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"
"MT4930 Spaceflight 1g-centrifugal con"	"GSM2412686"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"MT4930"	""	""	"Whole Organism"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413"	"ced-1(n1995) I"	""	""	"sample collection"	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"1G in Centrifuge"	""	""	"23 +/- 0.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"2.27"	"milligray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000142"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"
"N2 Ground control con"	"GSM2412687"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"N2"	""	""	"Whole Organism"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"sample collection"	"Ground Control"	""	""	"1G"	""	""	"23 +/- 0.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"milligray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000142"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"
"LS292 Ground control con"	"GSM2412688"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"LS292"	""	""	"Whole Organism"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413"	"dys-1(cx18) I"	""	""	"sample collection"	"Ground Control"	""	""	"1G"	""	""	"23 +/- 0.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"milligray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000142"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"
"MT4930 Ground control con"	"GSM2412689"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"MT4930"	""	""	"Whole Organism"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413"	"ced-1(n1995) I"	""	""	"sample collection"	"Ground Control"	""	""	"1G"	""	""	"23 +/- 0.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"milligray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000142"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"
"N2 Transport control con"	"GSM2412690"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"N2"	""	""	"Whole Organism"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13413"	"Wild Type"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195"	"sample collection"	"Ground Control"	""	""	"1G"	""	""	"23 +/- 0.5"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"milligray"	"UO"	"http://purl.obolibrary.org/obo/UO_0000142"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"
